year,month,enplanements,deplanements,monthly_total,change_vs_prev_year,lodging_tax
2002,January,"1,667","1,470","3,137",0%,
2002,February,"1,917","1,855","3,772",0%,
2002,March,"2,187","2,154","4,341",0%,
2002,April,"2,207","2,149","4,356",0%,
2002,May,"2,183","2,051","4,234",0%,
2002,June,"2,119","1,974","4,093",0%,
2002,July,"1,929","1,916","3,845",0%,
2002,August,"1,906","1,920","3,826",0%,
2002,September,"1,762","1,675","3,437",0%,
2002,October,"2,043","1,968","4,011",0%,
2002,November,"1,734","1,719","3,453",0%,
2002,December,"1,617","1,489","3,106",0%,
2003,January,"1,659","1,612","3,271",+4.3%,
2003,February,"1,657","1,526","3,183",-15.6%,
2003,March,"1,786","1,781","3,567",-17.8%,
2003,April,"1,792","1,716","3,508",-19.5%,
2003,May,"1,856","1,755","3,611",-14.7%,
2003,June,"1,863","1,824","3,687",-9.9%,
2003,July,"2,003","2,039","4,042",+5.1%,
2003,August,"2,041","2,000","4,041",+5.6%,
2003,September,"2,026","1,967","3,993",+16.2%,
2003,October,"2,321","2,361","4,682",+16.7%,
2003,November,"1,072","1,023","2,095",-39.3%,
2003,December,"1,003",880,"1,883",-39.4%,
2004,January,"1,043","1,053","2,096",-35.9%,
2004,February,"1,279","1,202","2,481",-22.1%,
2004,March,"1,452","1,430","2,882",-19.2%,
2004,April,"1,399","1,380","2,779",-20.8%,
2004,May,"1,484","1,398","2,882",-20.2%,
2004,June,"1,594","1,540","3,134",-15%,
2004,July,"1,550","1,486","3,036",-24.9%,
2004,August,"1,551","1,598","3,149",-22.1%,
2004,September,"1,540","1,513","3,053",-23.5%,
2004,October,"1,938","1,853","3,791",-19%,
2004,November,"1,642","1,588","3,230",+54.2%,
2004,December,"1,453","1,422","2,875",+52.7%,
2005,January,"1,400","1,414","2,814",+34.3%,
2005,February,"1,540","1,465","3,005",+21.1%,
2005,March,"1,592","1,589","3,181",+10.4%,
2005,April,"1,730","1,718","3,448",+24.1%,
2005,May,"1,885","1,835","3,720",+29.1%,
