snapshot_time_et,snapshot_date,source_layer,ObjectID,GlobalID,EditDate,precinct_name,precinct_location_name,precinct_address,precinct_open_closed,wait_current,lon,lat
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,1,aab085c3-6259-4877-b562-52396f195adf,1779192292774,01A,Parkside Elementary School,"685 Mercer Street SE , Atlanta, GA  30312",Open,0.0,-84.364562,33.73503
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,2,003203c8-0cc4-4466-8864-8242454ea622,1776445417407,01B & 01E,Ormewood Park Presbyterian Church,"1071 Delaware Avenue SE , Atlanta, GA  30316",Open,0.0,-84.352105,33.731131
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,3,575ad90e-7042-4d72-9b88-2926a2eac463,1779195779326,01C & 01S ,Mount Pleasant Baptist Church,"17 Meldon Avenue SE , Atlanta, GA  30315",Open,0.0,-84.383393,33.71176
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,4,9b564def-4fa8-4456-83e2-90c51165cb6b,1779194820003,01D & 04i,Mechanicsville Library,"400 Formwalt Street SW , Atlanta, GA  30312",Open,0.0,-84.39587,33.742771
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,5,af46f2e2-73bb-4c90-bd6e-4ae7f7367955,1779195924403,01F & 01G & 12K & 12N,Pittman Park Recreation Center,"950 Garibaldi St. SW , Atlanta, GA  30310",Open,0.0,-84.398693,33.728567
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,6,4fda1103-66cd-42f9-88f3-dba63d091c57,1776445417407,01H & 02S & 05A1 & 05B & 05C & 05K,Liberty Baptist Church,"395 Chamberlain Street SE , Atlanta, GA  30312",Open,0.0,-84.374784,33.75343299999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,7,b5a01755-99cb-4d6f-9bbb-6e9555338ab6,1779192223514,01J & 12S,Watley Library at Southeast Atlanta ,"1463 Pryor Road SW , Atlanta, GA  30315",Open,0.0,-84.39414,33.71477999999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,8,e44c5c62-a071-45dc-8c14-6fa26549d166,1779195850490,01P & 01T,Thomasville Recreation Center,"1835 Henry Thomas Dr SE , Atlanta, GA  30315",Open,0.0,-84.356811,33.704347
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,9,f1e8287a-20eb-4303-8894-fa0376844d0a,1776445417407,02A & 02W & 06E & 06J & 06R & 06R1,Piedmont Park Magnolia Hall,"1320 Monroe Drive , Atlanta, GA 30306",Open,0.0,-84.367504,33.790732999999996
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,10,41374c59-5d65-45f7-be1c-44cdb36eb310,1779195924403,02A1,All Saints Episcopal Church,"634 W. Peachtree Street NW , Atlanta, GA 30308",Open,0.0,-84.387853,33.771529
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,11,ef6a14e7-c9aa-4e9d-98c7-7a41c71b9888,1779195427245,02B & 02C & 04F & 05D,Saint Luke's Episcopal Church,"435 Peachtree Street NE , Atlanta, GA  30308",Open,2.0,-84.384664,33.766468999999994
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,12,6e53b574-19ea-418c-b001-d82cb6288c3b,1776445417407,02D & 02G ,Helene Mills Senior Center,"515 John Wesley Dobbs Ave SE , Atlanta, GA  30312",Open,0.0,-84.370929,33.758768
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,13,c8868944-e250-4866-a6ee-622e3591247a,1779193560218,02E & 05A2,Little 5 Point Community Center,"1083 Austin Avenue NE , Atlanta, GA  30307",Open,1.0,-84.35249599999999,33.76195799999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,14,669c1fea-2fd1-49dc-bc71-eff2fc1cdc40,1779191940926,02F1 & 02F2,The Church on Ponce & Highland,"1085 Ponce De Leon Avenue , Atlanta, GA 30306",Open,0.0,-84.34882,33.77398199999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,15,92864462-4054-49dc-ba07-ec5d3870cd2c,1779195850490,02J & 02K & 06G,Park Tavern,"500 Tenth Street NE , Atlanta, GA 30309",Open,0.0,-84.36922,33.78223599999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,16,2e23e5ab-d5bb-4a5e-b677-333ca096abe2,1776445417407,02L1 & 02L1A & 02L1B,Lutheran Church of the Redeemer,"731 Peachtree Street NE , Atlanta, GA 30308",Open,0.0,-84.383905,33.774543
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,17,1c053597-7655-497e-9ea9-312112babbb1,1779192292774,02L2 & 03I,North Avenue Presbyterian ,"607 Peachtree Street , Atlanta, GA 30308",Open,0.0,-84.385141,33.77135799999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,18,281bd800-cc8e-4afe-9bd0-a7a0a493b72a,1779192501508,03A & 03B & 03C & 03H & 09I ,Allen Temple AME Church,"1625 Joseph E. Boone Blvd NW , Atlanta, GA  30314",Open,0.0,-84.44193200000001,33.764641999999995
