filename,combo,precinct_num,precinct_name,party,governor_vote
Pre_025-Habersham North-0067.tif,025,01,Habersham North,Dem,Keisha Lance Bottoms
Pre_025-Habersham North-0259.tif,025,01,Habersham North,Dem,Michael ”Mike” Thurmond
Pre_025-Habersham North-0265.tif,025,01,Habersham North,Rep,Rick Jackson
Pre_025-Habersham North-0073.tif,025,01,Habersham North,Rep,BLANK CONTEST
Pre_025-Habersham North-0305.tif,025,01,Habersham North,Rep,Burt Jones
Pre_025-Habersham North-0072.tif,025,01,Habersham North,Rep,Burt Jones
Pre_025-Habersham North-0339.tif,025,01,Habersham North,Rep,Burt Jones
Pre_025-Habersham North-0107.tif,025,01,Habersham North,Rep,Chris Carr
Pre_025-Habersham North-0098.tif,025,01,Habersham North,Rep,Rick Jackson
Pre_025-Habersham North-0311.tif,025,01,Habersham North,Rep,Brad Raffensperger
Pre_025-Habersham North-0271.tif,025,01,Habersham North,Rep,Rick Jackson
Pre_025-Habersham North-0258.tif,025,01,Habersham North,Rep,Rick Jackson
Pre_025-Habersham North-0270.tif,025,01,Habersham North,Rep,Brad Raffensperger
Pre_025-Habersham North-0264.tif,025,01,Habersham North,Rep,Rick Jackson
Pre_025-Habersham North-0106.tif,025,01,Habersham North,Rep,Rick Jackson
Pre_025-Habersham North-0112.tif,025,01,Habersham North,Dem,Keisha Lance Bottoms
Pre_025-Habersham North-0338.tif,025,01,Habersham North,Rep,Rick Jackson
Pre_025-Habersham North-0064.tif,025,01,Habersham North,Dem,Keisha Lance Bottoms
Pre_025-Habersham North-0110.tif,025,01,Habersham North,Dem,Jason Esteves
Pre_025-Habersham North-0272.tif,025,01,Habersham North,Dem,[unread]
Pre_025-Habersham North-0104.tif,025,01,Habersham North,Rep,Rick Jackson
Pre_025-Habersham North-0312.tif,025,01,Habersham North,Rep,Burt Jones
Pre_025-Habersham North-0304.tif,025,01,Habersham North,Rep,Chris Carr
Pre_025-Habersham North-0138.tif,025,01,Habersham North,Rep,Brad Raffenspe
